# 2009年 打者成績（規定到達者）
# 出典: NPB.jp https://npb.jp/bis/2009/stats/
# tools/fetch-npb.js が取得: 2026-08-30
# 手で直してもよいが、再取得すると上書きされる。
選手名	チーム	打席	打率	本塁打	打点	出塁率	長打率
ラミレス	巨人	608	.322	31	103	.347	.544
内川 聖一	DeNA	552	.318	17	66	.369	.491
小笠原 道大	巨人	580	.309	31	107	.384	.543
坂本 勇人	巨人	640	.306	18	62	.357	.466
井端 弘和	中日	657	.306	5	39	.388	.381
青木 宣親	ヤクルト	624	.303	16	66	.400	.444
和田 一浩	中日	592	.302	29	87	.382	.532
宮本 慎也	ヤクルト	505	.294	5	46	.320	.399
東出 輝裕	広島	625	.294	0	26	.345	.351
阿部 慎之助	巨人	462	.293	32	76	.357	.587
亀井 義行	巨人	547	.290	25	71	.354	.510
森野 将彦	中日	632	.289	23	109	.377	.504
鳥谷 敬	阪神	617	.288	20	75	.368	.465
ブランコ	中日	615	.275	39	110	.346	.534
関本 賢太郎	阪神	462	.271	3	44	.353	.353
福地 寿樹	ヤクルト	543	.270	5	34	.310	.345
平野 恵一	阪神	462	.270	0	18	.318	.332
荒木 雅博	中日	631	.270	2	38	.304	.320
ガイエル	ヤクルト	482	.267	27	80	.367	.533
金本 知憲	阪神	619	.261	21	91	.368	.454
新井 貴浩	阪神	599	.260	15	82	.299	.401
田中 浩康	ヤクルト	514	.258	4	35	.315	.350
栗原 健太	広島	582	.257	23	79	.327	.430
川島 慶三	ヤクルト	485	.255	12	43	.314	.379
吉村 裕基	DeNA	588	.248	16	54	.318	.396
相川 亮二	ヤクルト	446	.247	5	43	.286	.339
マクレーン	広島	447	.244	18	52	.320	.424
石川 雄洋	DeNA	495	.242	2	24	.267	.300
赤松 真人	広島	489	.232	6	43	.289	.324
鉄平	楽天	565	.327	12	76	.391	.504
坂口 智隆	オリックス	594	.317	5	50	.381	.416
サブロー	ロッテ	489	.314	22	68	.377	.534
長谷川 勇也	ソフトバンク	584	.312	7	44	.387	.426
高橋 信二	日本ハム	558	.309	8	75	.358	.404
中島 裕之	西武	648	.309	22	92	.398	.493
糸井 嘉男	日本ハム	496	.306	15	58	.381	.520
草野 大輔	楽天	511	.305	7	54	.364	.411
金子 誠	日本ハム	510	.304	14	66	.344	.474
稲葉 篤紀	日本ハム	587	.300	17	85	.391	.492
小谷野 栄一	日本ハム	581	.296	11	82	.336	.436
大村 直之	オリックス	462	.291	0	30	.326	.341
Ｇ．Ｇ．佐藤	西武	556	.291	25	83	.357	.508
中村 剛也	西武	562	.285	48	122	.359	.651
田中 賢介	日本ハム	680	.283	3	49	.373	.372
オーティズ	ソフトバンク	458	.282	20	74	.338	.496
井口 資仁	ロッテ	530	.281	19	65	.391	.475
松中 信彦	ソフトバンク	521	.279	23	80	.374	.480
渡辺 直人	楽天	547	.276	1	28	.360	.343
福浦 和也	ロッテ	460	.273	6	39	.352	.364
大松 尚逸	ロッテ	553	.269	19	79	.334	.445
栗山 巧	西武	643	.267	12	57	.339	.394
小久保 裕紀	ソフトバンク	605	.266	18	81	.344	.418
スレッジ	日本ハム	487	.266	27	88	.359	.529
本多 雄一	ソフトバンク	622	.262	1	41	.320	.339
フェルナンデス	オリックス	447	.261	15	47	.318	.422
片岡 易之	西武	646	.260	13	58	.309	.395
西岡 剛	ロッテ	531	.260	14	41	.360	.427
川崎 宗則	ソフトバンク	640	.259	4	34	.325	.359
田上 秀則	ソフトバンク	520	.251	26	80	.299	.458
山崎 武司	楽天	611	.246	39	107	.332	.515
里崎 智也	ロッテ	479	.234	10	49	.321	.365
