# 2022年 投手成績（規定到達者）
# 出典: NPB.jp https://npb.jp/bis/2022/stats/
# tools/fetch-npb.js が取得: 2026-08-30
# 手で直してもよいが、再取得すると上書きされる。
選手名	チーム	登板	投球回	勝	敗	防御率	奪三振
青柳 晃洋	阪神	24	162	13	4	2.05	132
西 勇輝	阪神	23	148	9	9	2.18	93
今永 昇太	DeNA	21	143	11	4	2.26	132
大野 雄大	中日	23	157	8	8	2.46	108
戸郷 翔征	巨人	25	171	12	8	2.62	154
小笠原 慎之介	中日	22	146	10	8	2.76	142
小川 泰弘	ヤクルト	25	153	8	8	2.82	91
菅野 智之	巨人	23	147	10	7	3.12	104
森下 暢仁	広島	27	178	10	8	3.17	133
柳 裕也	中日	25	153	9	11	3.64	124
Ｒ．マルティネス	中日	56	55	4	3	0.97	62
マクガフ	ヤクルト	55	53	2	2	2.35	59
山﨑 康晃	DeNA	56	54	0	2	1.33	42
大勢	巨人	57	57	1	3	2.05	60
栗林 良吏	広島	48	48	0	2	1.49	59
岩崎 優	阪神	57	55	1	6	1.96	44
ケラー	阪神	34	32	3	2	3.31	46
田口 麗斗	ヤクルト	45	36	1	1	1.25	31
エスコバー	DeNA	70	63	4	2	2.42	51
伊勢 大夢	DeNA	71	68	3	3	1.72	69
矢崎 拓也	広島	47	49	2	0	1.82	51
デラロサ	巨人	30	27	0	0	2.30	24
クリスキー	DeNA	18	21	1	1	2.57	26
谷元 圭介	中日	34	31	0	0	2.61	21
三嶋 一輝	DeNA	13	12	2	2	2.84	11
清水 達也	中日	54	50	3	3	3.04	51
畠 世周	巨人	27	28	3	0	3.14	22
今野 龍太	ヤクルト	51	46	1	2	3.72	37
祖父江 大輔	中日	46	42	4	3	3.80	32
クロール	巨人	21	21	1	1	3.86	15
アルカンタラ	阪神	39	38	1	3	4.70	29
湯浅 京己	阪神	59	58	2	3	1.09	67
ロドリゲス	中日	56	54	6	2	1.15	60
清水 昇	ヤクルト	50	46	5	4	1.16	43
高梨 雄平	巨人	59	46	2	0	2.14	44
森浦 大輔	広島	51	46	3	6	3.30	48
今村 信貴	巨人	55	53	2	4	3.57	34
浜地 真澄	阪神	52	47	1	3	1.14	38
山本 由伸	オリックス	26	193	15	5	1.68	205
千賀 滉大	ソフトバンク	22	144	11	6	1.94	156
加藤 貴之	日本ハム	22	147	8	7	2.01	98
髙橋 光成	西武	26	175	12	8	2.20	128
伊藤 大海	日本ハム	26	155	10	9	2.95	112
小島 和哉	ロッテ	24	143	3	11	3.14	89
宮城 大弥	オリックス	24	148	11	8	3.16	127
田中 将大	楽天	25	163	9	12	3.31	126
上沢 直之	日本ハム	23	152	8	9	3.38	127
松井 裕樹	楽天	53	51	1	3	1.92	83
増田 達至	西武	52	51	2	5	2.45	34
平野 佳寿	オリックス	48	46	3	2	1.57	42
益田 直也	ロッテ	52	52	1	2	3.29	47
モイネロ	ソフトバンク	53	52	1	1	1.03	87
オスナ	ロッテ	29	29	4	1	0.91	32
平良 海馬	西武	61	57	1	3	1.56	75
北山 亘基	日本ハム	55	51	3	5	3.51	58
森 唯斗	ソフトバンク	29	34	2	4	2.62	27
石川 直也	日本ハム	36	32	2	2	3.94	37
水上 由伸	西武	60	56	4	4	1.77	40
東條 大樹	ロッテ	59	56	4	4	2.08	63
西口 直人	楽天	61	55	4	0	2.26	59
嘉弥真 新也	ソフトバンク	56	27	0	0	0.99	22
藤井 皓哉	ソフトバンク	55	56	5	1	1.12	81
ゲレーロ	ロッテ	49	46	3	3	3.52	63
本田 圭佑	西武	45	50	4	2	1.97	33
宋 家豪	楽天	54	51	4	2	2.61	38
阿部 翔太	オリックス	44	44	1	0	0.61	42
