# 選手の主ポジション対応表
#
# NPB公式（npb.jp）が公開している個人成績には守備位置が含まれていないため、
# 「この選手は主にどこを守る人か」をこのファイルで持つ。
#
# 書き方:  選手名 <タブ> ポジション記号
# ポジション記号: 投 捕 一 二 三 遊 左 中 右
#
# ・ここに載っていない野手は、ゲームに登場しない（間違ったデータを出さないため）
# ・投手成績(pitchers.tsv)に載っている選手は自動で「投」になるので、書かなくてよい
# ・複数ポジションを守る選手は「いちばん長く守った位置」を1つだけ書く
#   （二塁も遊撃も守れる、といった守備適性は tools/build-players.js が自動で計算する）
# ・直したらこのあと  node tools/build-players.js  を実行すると反映される
#
選手名	主ポジション
アブレイユ	三
アマダー	一
アルモンテ	左
アレックス	右
ウィーラー	三
エスコバー	遊
エルドレッド	一
オグレディ	右
オスナ	一
オースティン	一
オーティズ	二
カブレラ	一
ガイエル	右
キャベッジ	左
ギャレット	一
クラーク	一
クルーズ	三
ゲレーロ	左
ゴメス	一
サブロー	右
サンズ	左
サンタナ	左
シーツ	一
ジョーンズ	右
スパンジェンバーグ	二
スレッジ	左
ズレータ	一
セギノール	一
ソト	一
タイロン・ウッズ	一
ダルベック	一
デスパイネ	左
ネビン	三
ノイジー	左
バティスタ	三
バルディリス	三
バレンティン	左
ビシエド	一
ファビアン	左
フェルナンデス	一
フランコ	一
ブラウン	左
ブラゼル	一
ブラッシュ	右
ブランコ	一
ヘルマン	二
ベニー	左
ペゲーロ	左
ペーニャ	右
ボスラー	一
ボーア	一
ポランコ	右
マキノン	一
マギー	三
マクブルーム	一
マクレーン	三
マルテ	一
マルティネス	捕
マーティン	中
マートン	左
ミレッジ	右
メヒア	一
ラミレス	左
ラロッカ	三
リグス	二
リック	一
ルナ	三
レアード	三
レイエス	右
ロペス	一
ロメロ	右
ローズ	右
万波 中正	右
上本 博紀	二
上林 誠知	中
下園 辰哉	左
中島 卓也	遊
中島 大輔	中
中島 宏之	一
中島 裕之	遊
中川 圭太	一
中村 剛也	三
中村 奨吾	二
中村 悠平	捕
中村 晃	右
中村 紀洋	三
中田 翔	一
中谷 将大	左
中野 拓夢	遊
丸 佳浩	中
亀井 善行	右
亀井 義行	右
二岡 智宏	遊
井上 晴哉	一
井口 資仁	二
井端 弘和	遊
京田 陽太	遊
仁志 敏久	二
今宮 健太	遊
今岡 誠	三
今江 年晶	三
今江 敏晃	三
伊志嶺 翔大	中
伊藤 光	捕
佐伯 貴弘	一
佐藤 輝明	三
佐藤 都志也	捕
佐野 恵太	左
倉本 寿彦	遊
内山 壮真	捕
内川 聖一	右
前田 智徳	左
北川 博敏	一
吉岡 雄二	一
吉川 尚輝	二
吉村 裕基	右
吉田 正尚	左
呉 念庭	三
周東 佑京	中
和田 一浩	左
坂倉 将吾	捕
坂口 智隆	中
坂本 勇人	遊
城島 健司	捕
堀 幸一	二
堂上 直倫	遊
堂林 翔太	三
塩崎 真	三
塩見 泰隆	中
外崎 修汰	二
多村 仁	中
多村 仁志	中
大和	遊
大城 卓三	捕
大山 悠輔	三
大島 洋平	中
大引 啓次	遊
大村 直之	右
大松 尚逸	左
大田 泰示	右
太田 椋	二
安田 尚憲	三
安達 了一	遊
安部 友裕	三
宗 佑磨	三
宗山 塁	遊
宮出 隆自	左
宮地 克彦	中
宮本 慎也	遊
宮﨑 敏郎	三
寺地 隆成	捕
小久保 裕紀	三
小園 海斗	遊
小川 龍成	遊
小林 誠司	捕
小池 正晃	右
小深田 大翔	遊
小笠原 道大	一
小谷野 栄一	三
小郷 裕哉	左
山口 航輝	右
山崎 武司	一
山川 穂高	一
山田 哲人	二
岡島 豪郎	左
岡本 和真	三
岡林 勇希	中
岡田 幸文	中
岩村 明憲	三
岩田 幸宏	中
島内 宏明	右
嶋 基宏	捕
嶋 重宣	左
川島 慶三	二
川崎 宗則	遊
川端 崇義	右
川端 慎吾	三
平田 良介	右
平野 恵一	二
度会 隆輝	右
廣岡 大志	遊
廣瀬 純	右
後藤 光尊	二
新井 貴浩	一
日高 剛	捕
早川 大輔	中
明石 健志	二
會澤 翼	捕
木下 拓哉	捕
木元 邦之	三
木浪 聖也	遊
末包 昇大	右
本多 雄一	二
杉本 裕太郎	右
李 大浩	一
李 承ヨプ	一
李 炳圭	中
村上 宗隆	三
村松 有人	中
村松 開人	二
村林 一輝	三
村田 修一	三
東出 輝裕	二
松中 信彦	一
松井 稼頭央	遊
松原 聖弥	中
松山 竜平	左
松本 剛	右
松田 宣浩	三
柳田 悠岐	中
柳町 達	右
柴原 洋	中
栗原 健太	一
栗原 陵矢	左
栗山 巧	左
根元 俊一	二
桑原 将志	中
梅野 隆太郎	捕
梵 英心	遊
梶谷 隆幸	右
森 友哉	捕
森下 翔太	右
森本 稀哲	中
森野 将彦	三
正木 智也	左
水野 達稀	二
泉口 友汰	遊
浅村 栄斗	二
浦田 俊輔	遊
淺間 大基	中
清宮 幸太郎	一
清水 隆行	左
清田 育宏	右
渡辺 直人	遊
渡邉 諒	二
渡部 聖弥	左
源田 壮亮	遊
滝澤 夏央	遊
濱中 治	左
炭谷 銀仁朗	捕
片岡 易之	二
片岡 治大	二
牧 秀悟	二
牧原 大成	二
田上 秀則	捕
田中 和基	中
田中 広輔	遊
田中 浩康	二
田中 賢介	二
田村 龍弘	捕
甲斐 拓也	捕
畠山 和洋	一
相川 亮二	捕
矢野 輝弘	捕
矢野 雅哉	遊
石井 琢朗	遊
石井 義人	三
石原 慶幸	捕
石川 昂弥	三
石川 雄洋	二
礒部 公一	左
神里 和毅	中
福地 寿樹	左
福浦 和也	一
福田 周平	中
福田 永将	左
福留 孝介	右
秋山 翔吾	中
種田 仁	二
稲葉 篤紀	左
立浪 和義	二
筒香 嘉智	左
糸井 嘉男	右
糸原 健斗	二
紅林 弘太郎	遊
細川 亨	捕
細川 成也	右
緒方 孝市	中
聖澤 諒	中
脇谷 亮太	二
茂木 栄五郎	遊
草野 大輔	三
荒木 雅博	二
荒波 翔	中
荻野 貴司	中
菊池 涼介	二
藤原 恭大	中
藤岡 裕大	遊
藤田 一也	二
西岡 剛	遊
西川 史礁	右
西川 愛也	中
西川 遥輝	中
西川 龍馬	左
西浦 直亨	遊
西野 真弘	二
角中 勝也	左
谷 佳知	右
谷繁 元信	捕
赤星 憲広	中
赤松 真人	中
赤田 将吾	中
辰己 涼介	中
近本 光司	中
近藤 健介	右
郡司 裕也	捕
里崎 智也	捕
野村 佑希	三
野間 峻祥	中
金 泰均	一
金城 龍彦	中
金子 侑司	右
金子 誠	遊
金本 知憲	左
鈴木 大地	遊
鈴木 誠也	右
鉄平	右
銀次	一
長岡 秀樹	遊
長谷川 信哉	中
長谷川 勇也	左
長野 久義	右
関本 賢太郎	二
関根 大気	中
阿部 寿樹	二
阿部 慎之助	捕
陽 岱鋼	中
雄平	右
青木 宣親	中
頓宮 裕真	一
飯原 誉士	中
高橋 信二	一
高橋 周平	三
高橋 由伸	右
高須 洋介	二
髙山 俊	左
髙部 瑛斗	中
鳥谷 敬	遊
黒川 史陽	二
Ｇ．Ｇ．佐藤	左
ＳＨＩＮＪＯ	中
Ｔ－岡田	一
ＴＳＵＹＯＳＨＩ	遊
